Protocol,Packet Length,Packet Type,Traffic Type,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Signature,Action Taken,Severity Level,Network Segment,Log Source,Attack Type
0,1.07,0,0,0,0.013300000000000001,1,1,2,2,0,1,1
0,3.17,0,0,1,0.5692,0,0,2,0,0,0,1
0,8.75,0,0,1,0.009000000000000001,0,1,1,2,1,0,1
1,5.76,0,1,0,0.777,0,0,1,0,1,1,1
2,6.19,0,2,1,0.6756,1,1,0,2,1,0,2
2,12.24,0,0,1,0.9181999999999999,1,0,0,1,2,0,0
2,6.32,0,2,0,0.5013000000000001,0,0,0,0,2,1,0
1,6.7,1,0,0,0.4153,0,1,1,0,0,0,2
0,0.88,0,0,0,0.9120999999999999,0,1,1,2,2,0,1
2,14.97,1,0,0,0.828,1,1,2,0,2,0,0
0,3.04,0,1,0,0.7885,0,0,2,2,0,1,2
0,10.01,0,0,1,0.5069,1,0,2,0,0,1,1
1,13.52,0,0,1,0.753,0,0,0,2,1,0,0
1,5.48,0,2,0,0.3308,0,1,1,0,2,0,1
1,11.14,0,1,0,0.0727,1,0,0,2,1,0,2
2,1.49,0,1,1,0.7668,1,1,2,0,0,0,1
2,5.48,0,2,1,0.36219999999999997,1,1,0,1,2,1,2
1,11.06,1,0,1,0.1336,1,0,0,2,2,1,0
1,12.9,1,2,1,0.6901,0,1,2,0,1,0,2
1,1.9,0,1,1,0.047400000000000005,1,1,0,2,0,1,1
0,9.95,1,1,0,0.5166,1,0,0,2,2,1,0
2,13.42,1,0,1,0.8386,1,0,1,2,1,1,2
0,7.22,0,0,0,0.7961,1,0,2,1,2,1,0
0,11.81,1,1,0,0.1495,1,1,1,0,0,0,0
2,9.07,1,1,0,0.121,0,1,0,1,1,1,0
0,14.27,0,0,1,0.0333,0,0,2,2,1,0,2
1,7.93,1,0,1,0.1893,1,0,1,0,1,0,2
0,6.86,1,1,0,0.9682999999999999,0,0,2,0,1,0,1
1,10.92,0,1,0,0.8275,1,0,0,0,2,1,2
1,4.92,0,0,0,0.8815999999999999,1,1,0,2,0,0,2
1,8.11,0,2,1,0.4533,0,1,1,1,2,0,0
0,14.44,1,0,1,0.9107999999999999,0,0,0,0,0,1,2
1,4.23,1,1,0,0.45270000000000005,1,1,0,0,1,1,2
2,7.44,0,0,1,0.5159,0,1,2,0,0,1,0
2,1.73,1,0,1,0.7369,1,0,2,0,2,0,2
0,3.4,0,0,0,0.2725,1,0,1,2,1,0,2
0,10.82,1,2,0,0.8143,1,0,0,0,0,0,0
0,8.76,1,1,0,0.8928,0,0,1,0,0,1,2
1,13.19,0,1,1,0.4395,0,0,2,1,1,1,2
2,9.76,0,1,1,0.0131,1,0,1,1,0,1,1
1,9.85,1,0,0,0.9814,1,1,0,2,0,0,0
0,9.02,0,2,1,0.8495,0,0,0,1,1,1,0
1,8.89,1,0,1,0.1456,0,1,1,1,2,1,0
2,14.92,0,0,0,0.318,0,1,0,1,1,1,0
1,7.87,1,1,1,0.037000000000000005,1,1,0,0,0,0,0
0,10.7,1,0,0,0.9764,0,1,0,1,2,0,2
1,14.55,1,2,1,0.5819,1,0,2,2,2,1,1
2,6.4,1,0,0,0.10439999999999999,1,0,1,1,2,0,2
0,11.78,0,0,1,0.053899999999999997,1,1,2,2,2,0,0
0,1.58,0,0,1,0.9179,0,0,2,1,1,0,2
0,14.09,0,2,1,0.7026,1,1,2,0,2,0,2
1,8.66,1,1,0,0.8654999999999999,0,0,2,1,1,1,0
2,3.43,0,0,1,0.11109999999999999,0,1,1,1,2,1,0
0,5.31,0,2,0,0.7101999999999999,0,1,2,0,2,0,1
0,13.87,1,1,0,0.5168,0,1,2,1,2,1,0
2,7.15,1,0,0,0.43229999999999996,0,0,2,2,2,1,1
0,7.65,1,1,1,0.4731,1,0,1,0,2,0,2
2,6.46,0,1,0,0.7767000000000001,0,1,2,0,2,0,2
2,11.42,1,0,1,0.2066,1,1,2,0,0,0,2
0,10.05,1,2,1,0.9092,1,0,1,0,2,1,0
0,9.84,0,2,0,0.6489,0,0,0,0,1,0,1
1,5.12,0,0,1,0.7706999999999999,1,0,1,0,0,0,2
1,11.91,0,1,1,0.5338,0,0,0,0,1,0,2
0,5.27,1,1,0,0.2274,0,0,0,2,0,1,1
2,13.88,1,2,0,0.8187000000000001,0,1,1,2,1,1,0
2,4.25,1,1,0,0.9862000000000001,0,0,0,2,0,1,1
1,4.91,1,2,0,0.1441,0,1,1,2,2,1,1
0,6.68,1,0,1,0.4128,1,1,2,1,0,0,1
2,11.27,0,1,0,0.3628,0,1,0,2,1,1,1
2,12.92,1,2,1,0.613,1,0,2,2,0,1,0
1,10.26,0,1,1,0.36950000000000005,1,0,2,1,1,1,2
2,7.12,1,2,1,0.5544,1,1,0,2,0,1,2
0,13.1,0,0,0,0.6973,0,0,2,1,1,1,0
1,14.09,0,0,1,0.0288,0,0,0,1,2,0,2
1,9.39,0,0,1,0.2353,1,1,1,1,1,1,1
1,3.61,1,1,0,0.9716,1,1,1,0,1,0,2
0,7.23,1,2,0,0.32020000000000004,0,1,2,1,0,1,0
2,14.09,0,1,1,0.0226,1,1,1,1,1,1,0
0,3.54,1,0,0,0.1059,1,0,2,0,2,0,1
1,8.76,1,2,1,0.0438,1,0,0,1,1,0,0
1,2.54,0,0,0,0.7509,0,0,2,0,2,0,1
1,11.0,0,2,0,0.2813,1,0,1,0,0,1,2
2,5.74,0,2,0,0.267,1,0,2,0,0,0,1
0,1.67,1,1,0,0.9887999999999999,0,0,0,0,2,1,2
1,8.14,1,1,1,0.8192,0,0,0,0,2,1,0
1,1.21,0,2,0,0.3148,0,0,2,2,0,1,0
1,8.63,1,0,1,0.6018,0,1,2,0,2,0,0
0,1.87,0,0,0,0.7062,1,1,0,2,2,0,2
1,13.47,0,1,0,0.8166,1,0,1,2,1,1,1
0,7.09,1,2,0,0.7034,1,0,1,1,2,1,0
0,5.91,1,1,1,0.011899999999999999,0,0,0,0,0,1,2
2,10.43,0,1,0,0.2086,1,0,2,1,1,0,0
1,2.26,1,2,0,0.4697,1,1,0,0,1,1,1
0,6.31,1,2,0,0.2382,0,0,2,2,0,1,0
0,6.09,1,2,1,0.56,1,1,0,1,0,1,1
0,11.32,0,0,1,0.158,1,1,2,2,0,0,2
0,9.41,0,2,1,0.51,0,1,0,2,2,1,1
0,5.25,0,0,0,0.2861,1,1,0,2,1,1,2
1,7.06,1,0,1,0.6884,0,1,0,0,1,1,2
1,14.38,1,1,0,0.6162,0,1,0,0,1,0,1
2,5.58,1,1,0,0.6444,0,1,2,1,0,1,1
0,14.85,0,1,1,0.11939999999999999,1,1,2,0,2,1,1
1,11.03,1,1,0,0.9104000000000001,1,0,2,2,1,0,2
0,1.92,0,2,0,0.8316,1,0,0,2,1,0,1
1,13.07,0,1,0,0.5297999999999999,1,1,2,2,0,1,1
0,8.82,1,2,0,0.2025,1,1,0,2,2,1,2
2,13.64,1,0,0,0.7806000000000001,0,0,1,1,0,1,0
2,13.68,0,2,1,0.0012,0,1,0,0,2,1,2
2,4.18,0,0,1,0.8711,0,1,1,1,0,0,1
0,8.78,1,0,0,0.1321,0,1,1,2,1,1,1
1,13.58,0,0,0,0.1775,0,0,2,0,2,1,2
1,7.21,0,0,0,0.0738,0,0,2,0,2,1,1
2,10.84,1,1,1,0.5302,0,0,0,0,0,0,0
1,3.99,1,0,0,0.5390999999999999,1,1,0,2,0,0,1
0,9.8,0,2,1,0.27149999999999996,1,1,1,0,0,1,1
1,11.44,0,2,1,0.6965,0,0,2,1,0,0,0
2,4.23,1,2,0,0.2925,1,1,1,0,2,0,0
0,5.8,0,2,1,0.20550000000000002,0,0,2,0,2,0,1
0,7.7,0,2,0,0.8522,1,1,0,2,0,0,2
1,3.08,0,1,1,0.40869999999999995,1,0,0,1,0,1,2
0,4.38,0,1,1,0.193,1,1,1,0,0,1,2
2,5.87,1,1,1,0.5307999999999999,1,1,1,0,0,0,1
2,6.65,1,1,1,0.5059,0,0,2,0,2,1,0
1,7.17,1,0,1,0.7134999999999999,1,1,2,0,2,0,1
0,14.07,1,2,1,0.8820999999999999,0,1,0,2,0,1,1
2,10.9,0,2,0,0.0209,1,1,2,0,2,1,2
0,3.81,1,2,1,0.6774,1,0,0,2,1,1,0
0,8.02,0,2,0,0.40880000000000005,1,1,2,2,2,1,2
2,5.74,0,2,1,0.6895,0,0,2,2,1,0,1
1,11.52,1,1,0,0.4758,0,0,2,0,1,1,2
1,3.5,0,1,0,0.2897,1,1,2,0,1,1,0
2,12.4,0,1,1,0.0821,0,1,1,0,0,1,0
2,5.91,0,0,0,0.1255,0,0,1,0,1,0,1
2,4.97,1,1,0,0.142,1,0,2,2,0,1,0
1,1.85,1,0,0,0.4276,1,0,0,1,2,0,1
2,0.72,0,2,0,0.060899999999999996,0,0,1,2,1,0,2
2,3.63,0,1,0,0.0019,0,0,0,0,0,0,1
2,3.05,1,1,1,0.5904,0,1,1,0,2,1,0
1,12.01,0,2,1,0.0762,0,0,1,1,1,0,0
1,6.38,0,0,0,0.3373,1,1,2,0,2,0,1
0,14.28,0,1,1,0.2375,0,0,0,0,2,0,1
2,8.63,1,1,1,0.812,0,0,1,0,0,0,0
0,2.83,0,2,0,0.43689999999999996,0,0,0,0,1,1,1
2,5.56,1,1,1,0.7176,0,0,0,2,1,1,0
2,4.82,1,1,1,0.9361,0,1,0,0,2,0,1
2,11.58,1,2,0,0.3807,1,0,1,0,0,0,2
1,7.91,1,0,1,0.5934,1,1,0,2,2,1,2
0,9.56,0,0,0,0.1272,1,0,0,0,0,1,2
1,1.95,1,1,1,0.8825,0,1,1,2,2,1,0
2,9.6,0,2,1,0.13570000000000002,1,1,1,2,1,1,0
1,6.7,1,1,0,0.7358,0,0,0,1,2,1,0
2,4.32,0,1,0,0.30260000000000004,1,0,2,0,1,0,1
1,5.58,1,2,1,0.8440000000000001,0,1,0,2,0,1,0
1,9.69,1,2,1,0.4849,0,1,0,0,2,0,2
1,10.89,0,0,1,0.7624,0,0,0,1,0,0,2
2,9.92,1,2,0,0.4104,0,1,2,2,1,1,2
1,14.18,0,0,0,0.9695999999999999,1,1,1,0,1,1,0
1,14.83,1,2,0,0.636,0,1,1,1,2,1,1
2,11.04,0,2,1,0.6434000000000001,1,1,0,1,1,1,1
0,5.14,0,0,0,0.5299,1,1,2,0,0,0,2
1,6.36,1,2,1,0.847,1,1,0,1,1,1,2
1,3.58,0,0,1,0.1133,1,1,0,1,1,0,2
1,10.61,1,2,1,0.045899999999999996,1,1,1,2,2,1,2
1,1.07,1,2,1,0.5653,1,1,2,2,1,1,0
1,9.11,0,0,0,0.7728,1,1,1,0,0,1,2
0,10.65,1,0,0,0.2708,1,1,2,2,2,1,1
2,9.32,1,1,1,0.7861,1,0,1,0,1,0,0
2,3.08,0,1,1,0.47700000000000004,1,1,2,0,0,0,2
1,8.4,1,2,0,0.382,1,1,1,1,1,1,2
2,8.02,0,1,0,0.9393,1,0,0,1,1,0,0
2,11.63,0,1,1,0.2942,1,0,2,2,1,1,2
1,7.98,1,0,0,0.5356000000000001,1,1,2,0,1,0,0
1,13.35,1,0,1,0.8265,0,0,0,0,1,0,2
2,4.52,0,2,1,0.7197,1,0,2,0,2,0,1
2,1.95,0,2,1,0.9627,1,1,0,2,2,0,1
1,14.36,1,2,0,0.6814,1,1,1,2,0,0,2
0,7.45,0,2,0,0.9272,1,1,1,0,2,1,2
0,7.86,1,0,1,0.3148,0,1,2,0,2,0,2
2,10.73,0,1,1,0.5878,0,1,0,0,1,0,1
0,12.63,0,1,1,0.8348,1,0,1,2,0,0,1
2,4.48,0,0,0,0.4777,0,0,2,2,2,0,1
1,11.35,0,0,0,0.0552,1,1,1,1,2,1,0
0,14.81,1,0,0,0.8448,0,0,0,2,1,1,2
0,6.66,1,0,1,0.7802,1,0,1,0,0,1,1
0,3.82,0,0,1,0.547,0,1,0,1,1,1,0
1,2.87,1,2,1,0.19399999999999998,1,1,1,1,1,1,0
2,12.3,1,2,1,0.7202,0,1,2,2,0,1,1
2,7.82,1,0,1,0.7569,1,1,0,0,0,0,1
0,10.29,0,2,0,0.1839,1,0,2,1,1,1,1
0,6.03,0,2,0,0.8948,1,0,2,2,0,0,0
2,1.6,0,2,0,0.7045999999999999,0,0,0,1,2,1,1
2,13.03,1,2,0,0.030299999999999997,1,0,2,0,1,1,0
1,9.24,0,2,0,0.41479999999999995,1,0,0,2,0,0,0
0,12.29,1,2,0,0.3726,0,0,0,0,0,1,2
1,12.47,0,2,0,0.516,0,1,1,2,2,1,2
1,4.57,0,2,0,0.48869999999999997,1,1,1,1,2,0,0
2,5.53,0,0,0,0.4065,0,1,0,0,2,0,0
2,14.58,1,1,1,0.9068,0,0,1,2,1,1,2
2,6.28,1,1,1,0.1888,0,0,2,0,0,1,2
2,1.08,1,1,1,0.5349,0,1,2,1,1,1,0
2,8.99,1,0,0,0.6222,0,0,0,1,1,0,2
1,7.04,0,0,1,0.2802,1,1,2,0,0,1,0
2,7.91,0,2,1,0.6654000000000001,0,0,2,1,0,0,2
2,12.29,0,0,0,0.5891,1,1,1,2,2,0,1
0,3.25,1,1,0,0.11230000000000001,0,0,2,0,2,0,1
0,8.35,1,0,0,0.4742,0,1,0,0,0,0,2
2,7.21,0,2,1,0.6461,0,0,1,0,2,1,0
0,11.62,1,2,1,0.2256,0,1,0,0,2,1,0
2,9.2,1,2,1,0.7062999999999999,0,0,1,2,1,0,1
1,6.35,0,1,0,0.6704000000000001,0,0,0,0,1,0,2
2,8.61,1,0,0,0.45549999999999996,0,1,2,1,0,1,1
0,14.43,0,0,1,0.08689999999999999,1,1,0,0,2,0,1
1,3.62,1,1,1,0.7693000000000001,0,1,0,1,2,1,0
0,6.8,0,2,1,0.2147,1,1,2,0,0,1,1
0,14.19,1,2,0,0.2927,1,0,2,2,1,1,2
0,7.49,1,1,0,0.0968,1,0,1,0,2,1,0
2,14.05,0,2,0,0.3453,0,0,0,1,1,1,2
0,12.25,0,2,0,0.4938,1,0,0,2,1,1,0
1,4.61,1,0,0,0.8289,0,0,2,2,1,0,0
1,14.28,0,0,1,0.2465,0,0,1,1,1,0,1
2,11.02,1,2,0,0.1929,1,1,1,0,0,1,2
2,14.09,0,0,1,0.4581,1,1,0,2,2,1,0
0,9.6,0,0,0,0.9776,0,1,0,2,2,1,1
0,4.37,1,0,1,0.5166,1,0,2,2,0,1,2
1,1.79,1,2,0,0.7321,1,1,1,2,1,0,1
2,14.18,1,0,0,0.6812,0,0,1,0,1,1,2
2,9.73,1,0,0,0.3375,1,0,2,0,0,0,0
2,11.47,0,1,0,0.4551,0,0,2,2,2,0,1
0,5.16,0,1,1,0.8858,0,0,0,0,0,0,0
2,11.28,1,0,0,0.099,0,0,1,0,0,0,2
1,6.35,0,2,1,0.7959,0,0,2,0,0,1,1
1,10.09,0,2,0,0.4495,0,0,2,1,1,0,2
0,1.04,1,0,0,0.5922999999999999,0,1,0,2,1,0,2
2,0.98,1,1,1,0.9908,1,0,2,2,1,1,1
0,13.52,0,1,0,0.1008,0,0,1,2,1,0,0
1,1.63,0,2,1,0.6926000000000001,0,0,0,2,1,0,0
0,7.65,1,0,1,0.8532,0,0,2,2,1,0,2
0,8.02,1,2,1,0.331,1,0,2,2,1,1,0
2,11.66,1,1,1,0.6912999999999999,1,1,0,2,1,0,1
0,5.94,1,0,0,0.6470999999999999,1,1,2,2,2,1,2
2,13.43,0,1,0,0.255,0,0,0,0,1,0,1
0,6.01,0,2,1,0.056900000000000006,0,1,0,1,0,0,2
1,14.57,1,1,1,0.8952,1,0,2,1,0,1,1
1,8.86,0,0,0,0.8238,0,0,1,1,1,1,0
2,10.66,1,1,0,0.46340000000000003,0,0,1,1,2,1,1
0,7.48,1,1,0,0.6536,1,1,1,0,0,1,0
2,8.66,1,0,1,0.6726000000000001,0,1,0,2,2,1,2
1,11.88,1,2,1,0.36729999999999996,1,1,2,1,2,0,0
1,3.32,1,1,1,0.29109999999999997,0,1,1,2,0,1,0
2,6.7,1,2,1,0.7944,0,0,2,0,1,1,2
2,9.52,0,2,0,0.5587,0,1,2,2,0,0,0
1,13.68,1,0,0,0.25920000000000004,0,0,0,2,2,1,2
0,6.33,1,2,0,0.3651,1,0,1,0,0,1,0
0,6.74,1,2,0,0.3017,0,0,1,0,1,1,2
0,0.76,0,0,0,0.8879,1,0,2,2,2,1,2
2,3.89,1,2,0,0.3275,0,0,2,0,0,1,1
0,1.25,1,2,0,0.5209,0,0,1,0,1,1,2
1,10.62,0,1,1,0.1837,0,1,1,2,0,0,1
2,13.64,1,2,1,0.7151000000000001,0,0,0,1,2,1,1
1,7.77,0,0,0,0.9487000000000001,0,0,0,1,1,0,2
0,10.34,1,1,0,0.27190000000000003,0,0,2,0,1,0,2
2,4.61,1,0,0,0.051399999999999994,1,0,0,2,2,0,0
0,14.93,0,2,1,0.4493,1,1,2,2,1,0,2
2,10.71,0,2,0,0.3848,0,1,2,0,1,0,1
2,7.84,0,1,1,0.0736,0,1,0,1,0,1,2
2,1.4,1,0,0,0.14279999999999998,1,1,2,2,0,1,0
0,4.06,1,1,1,0.2505,0,1,2,0,0,1,0
2,14.28,0,0,1,0.4426,1,0,2,0,2,0,2
0,6.78,0,0,1,0.9124,0,0,1,0,1,1,2
0,5.33,0,1,1,0.7373999999999999,1,1,1,2,1,0,2
0,1.41,0,1,0,0.0222,1,0,0,0,1,0,0
0,4.74,1,1,0,0.5707,0,0,1,1,2,1,0
0,14.0,0,2,0,0.698,1,1,1,1,2,1,1
1,3.06,0,1,1,0.1394,0,0,0,0,1,0,0
2,11.9,0,2,0,0.2345,1,1,0,2,2,1,2
2,12.78,0,1,0,0.6255,0,1,2,2,1,1,2
0,11.36,1,0,0,0.6163000000000001,0,1,1,2,1,1,2
2,6.43,0,0,1,0.3456,0,1,1,0,1,0,0
1,9.86,0,2,0,0.5031,0,1,1,1,0,0,2
1,8.69,1,2,1,0.4058,1,0,0,2,0,1,2
1,6.35,0,1,1,0.0493,0,1,2,2,2,1,1
2,12.66,0,0,0,0.273,0,1,2,0,0,0,0
2,14.13,1,2,0,0.39390000000000003,1,1,1,2,1,1,2
1,7.69,1,2,1,0.8118000000000001,1,1,2,2,1,1,2
1,8.15,1,1,1,0.409,1,0,2,2,1,0,0
2,9.26,0,2,1,0.36920000000000003,0,1,1,0,2,1,0
1,8.64,0,0,1,0.4278,0,0,1,2,0,0,0
1,12.33,0,2,1,0.07980000000000001,0,0,0,1,2,0,1
1,7.85,0,0,0,0.8361,0,0,2,1,2,1,0
1,5.79,0,2,0,0.5329,0,1,2,1,0,1,2
2,10.7,0,0,0,0.3285,0,0,0,1,1,1,0
0,9.6,0,1,1,0.2659,1,0,1,2,0,1,1
0,1.64,1,1,0,0.7399,0,1,0,2,2,1,1
1,5.75,1,1,0,0.6516,1,1,0,1,1,1,2
1,9.89,1,1,0,0.1391,1,1,1,0,1,0,0
2,10.95,0,1,1,0.5064,1,1,2,1,1,0,2
0,12.11,0,1,1,0.723,0,0,1,1,0,1,2
1,10.53,0,0,1,0.4006,1,0,2,2,1,1,2
1,14.29,1,2,1,0.9604,0,0,2,0,0,1,2
1,13.88,0,0,1,0.9672,1,1,2,0,0,1,2
2,2.63,1,0,0,0.24480000000000002,1,0,2,2,2,1,1
0,9.33,1,0,1,0.6091,0,0,1,1,2,0,1
2,10.36,0,1,1,0.7745000000000001,0,1,1,1,1,0,0
1,3.36,1,1,0,0.2325,0,1,1,0,1,0,0
0,13.79,1,0,1,0.2969,1,0,0,2,0,1,0
2,2.86,1,0,1,0.0098,1,1,2,1,1,0,0
2,8.43,0,0,0,0.19579999999999997,1,1,1,2,1,1,1
0,5.87,1,1,1,0.4468,1,1,1,0,2,1,2
0,3.69,0,2,0,0.6722,1,0,2,2,2,0,1
2,3.95,0,0,1,0.4971,1,0,0,0,0,1,1
1,1.16,0,1,1,0.6623,0,1,1,2,1,0,1
1,10.85,0,0,1,0.9109999999999999,1,1,1,1,2,0,0
2,13.73,0,0,1,0.8644,1,1,2,0,1,0,2
2,13.57,1,0,1,0.2147,1,1,0,2,0,0,2
2,4.98,0,1,0,0.5988,0,0,0,0,1,1,0
0,6.6,0,0,0,0.9717,0,1,0,1,0,1,2
0,10.78,0,1,0,0.5878,0,0,1,0,1,0,1
0,0.83,1,2,0,0.7025,1,1,2,1,0,1,1
2,4.48,1,0,0,0.1841,0,1,2,1,1,0,0
2,4.12,1,1,1,0.14679999999999999,1,1,1,0,1,0,0
2,14.64,0,1,0,0.7066,1,0,2,1,0,1,0
2,8.69,0,0,1,0.6112,0,1,1,1,2,1,1
1,12.76,0,1,0,0.4493,1,1,0,0,2,0,2
1,8.82,0,1,1,0.1308,0,0,1,2,1,0,0
0,13.72,0,2,0,0.6722,0,0,1,0,1,0,1
0,9.98,0,1,0,0.0527,0,0,1,2,2,1,2
2,2.38,0,2,0,0.6118,0,0,2,2,1,0,2
1,4.8,0,1,0,0.7558,1,0,0,0,2,1,0
2,10.48,0,0,1,0.6133,0,1,1,2,1,1,0
0,12.78,0,2,1,0.034300000000000004,0,0,0,0,0,0,1
2,13.29,0,1,0,0.8515999999999999,0,1,0,1,2,0,2
1,2.48,1,2,0,0.12240000000000001,1,0,2,0,2,0,1
1,7.98,0,0,0,0.5163,1,1,2,1,0,0,0
1,7.84,0,2,0,0.2601,1,0,1,1,1,1,1
0,14.43,0,2,0,0.1559,1,0,1,0,2,1,2
2,11.24,0,1,0,0.1476,0,0,1,1,2,1,2
0,11.11,1,1,1,0.8437,0,1,1,0,2,0,1
0,6.51,0,2,1,0.6854,0,0,1,2,2,1,0
1,3.69,1,1,1,0.2262,1,0,0,0,1,0,1
0,14.79,1,2,0,0.7641,1,1,1,2,0,1,1
2,2.68,0,1,1,0.4329,1,0,2,1,0,1,1
1,11.69,0,0,1,0.2132,0,0,1,0,2,0,0
1,7.71,1,1,1,0.9592,0,1,2,1,0,0,1
1,1.5,0,2,0,0.1606,1,0,1,1,2,1,2
2,10.31,0,2,1,0.5322,0,0,2,2,1,0,0
2,12.5,1,1,0,0.3864,0,1,0,2,0,1,0
2,10.89,1,1,1,0.7358,1,0,1,2,1,0,1
1,12.78,0,0,0,0.49950000000000006,1,0,2,0,0,0,1
0,7.12,1,1,1,0.5818,1,1,1,1,1,1,0
2,10.19,1,0,1,0.4715,0,0,0,0,0,0,1
1,12.84,0,1,0,0.4044,0,0,0,2,1,1,2
0,9.04,1,2,0,0.7121999999999999,0,1,2,1,0,0,0
0,12.61,0,2,1,0.0123,1,1,2,2,1,1,1
0,13.85,1,1,1,0.9590000000000001,1,0,1,0,2,1,1
2,6.58,0,0,1,0.7929,1,0,1,0,2,0,2
1,10.22,0,1,1,0.7868,0,1,1,0,0,0,0
1,3.66,1,1,1,0.3486,0,0,0,1,2,0,2
1,12.74,1,1,0,0.9444,0,1,2,1,1,0,2
0,13.62,0,2,1,0.6929000000000001,1,1,0,0,0,1,0
2,3.99,0,0,1,0.35359999999999997,0,0,1,2,2,1,1
2,3.82,1,0,0,0.8406,1,1,0,2,1,1,1
1,8.96,0,1,1,0.6303,1,1,0,1,1,0,0
0,13.33,0,0,1,0.3643,0,0,0,0,1,0,2
2,10.68,1,1,1,0.9791,0,1,2,2,2,1,1
2,14.33,1,2,0,0.4806,1,1,2,1,1,0,0
2,14.97,1,2,0,0.4654,0,0,2,1,1,0,1
1,1.69,0,1,0,0.126,1,1,0,1,1,1,1
1,13.54,1,0,1,0.8099,0,0,0,2,0,0,1
1,14.17,1,0,0,0.3468,0,1,0,1,2,0,0
0,10.54,1,1,1,0.9029,0,0,0,2,2,1,2
1,5.6,0,1,0,0.5806,0,0,0,0,0,0,0
1,12.86,0,1,1,0.24309999999999998,1,0,2,0,0,1,1
1,5.06,0,2,0,0.9686,0,0,2,1,0,0,2
1,4.67,0,2,1,0.8423,0,0,1,1,0,0,2
2,9.15,1,0,1,0.1913,1,1,1,0,2,1,1
2,4.09,1,2,1,0.1448,0,0,0,0,0,1,2
1,8.16,0,0,1,0.5459,1,0,1,1,1,0,1
2,6.5,1,0,0,0.31629999999999997,1,1,2,1,0,0,0
0,5.5,0,2,1,0.0679,0,0,0,1,0,0,1
2,4.35,1,0,0,0.4202,0,1,1,2,2,0,2
0,5.42,1,1,0,0.6612,1,0,0,0,0,0,1
2,6.12,1,0,1,0.041100000000000005,1,0,1,2,1,1,0
2,11.05,1,0,0,0.6295000000000001,0,0,2,1,0,0,0
